0,1,2,3,4,position
-67.0,-61.0,-72.0,-69.0,-58.0,1
-63.0,-61.0,-72.0,-69.0,-58.0,1
-63.0,-61.0,-72.0,-75.0,-58.0,1
-63.0,-61.0,-69.0,-75.0,-58.0,1
-63.0,-61.0,-69.0,-75.0,-60.0,1
-67.0,-61.0,-69.0,-75.0,-60.0,1
-67.0,-67.0,-69.0,-75.0,-60.0,1
-67.0,-67.0,-72.0,-75.0,-60.0,1
-67.0,-67.0,-72.0,-75.0,-61.0,1
-63.0,-67.0,-72.0,-75.0,-61.0,1
-63.0,-67.0,-72.0,-68.0,-61.0,1
-63.0,-59.0,-72.0,-68.0,-61.0,1
-63.0,-59.0,-64.0,-68.0,-61.0,1
-63.0,-59.0,-64.0,-68.0,-60.0,1
-67.0,-59.0,-64.0,-68.0,-60.0,1
-67.0,-61.0,-64.0,-68.0,-60.0,1
-67.0,-61.0,-64.0,-75.0,-60.0,1
-67.0,-61.0,-64.0,-75.0,-61.0,1
-65.0,-61.0,-64.0,-75.0,-61.0,1
-65.0,-61.0,-64.0,-69.0,-61.0,1
-65.0,-58.0,-64.0,-69.0,-61.0,1
-65.0,-58.0,-64.0,-69.0,-59.0,1
-67.0,-58.0,-64.0,-69.0,-59.0,1
-67.0,-68.0,-64.0,-69.0,-59.0,1
-67.0,-68.0,-69.0,-69.0,-59.0,1
-62.0,-68.0,-69.0,-69.0,-59.0,1
-62.0,-58.0,-69.0,-69.0,-59.0,1
-62.0,-58.0,-72.0,-69.0,-59.0,1
-62.0,-58.0,-72.0,-69.0,-61.0,1
-65.0,-58.0,-72.0,-69.0,-61.0,1
-65.0,-58.0,-72.0,-68.0,-61.0,1
-65.0,-68.0,-72.0,-68.0,-61.0,1
-65.0,-68.0,-69.0,-68.0,-61.0,1
-65.0,-68.0,-69.0,-68.0,-59.0,1
-65.0,-59.0,-69.0,-75.0,-59.0,1
-65.0,-59.0,-63.0,-75.0,-59.0,1
-66.0,-59.0,-63.0,-75.0,-59.0,1
-66.0,-59.0,-63.0,-70.0,-59.0,1
-66.0,-61.0,-63.0,-70.0,-59.0,1
-62.0,-61.0,-63.0,-70.0,-59.0,1
-63.0,-61.0,-63.0,-70.0,-59.0,1
-63.0,-59.0,-63.0,-70.0,-59.0,1
-63.0,-59.0,-63.0,-69.0,-59.0,1
-63.0,-59.0,-68.0,-69.0,-59.0,1
-63.0,-68.0,-65.0,-69.0,-59.0,1
-63.0,-68.0,-65.0,-69.0,-60.0,1
-63.0,-59.0,-65.0,-69.0,-60.0,1
-63.0,-59.0,-72.0,-69.0,-60.0,1
-63.0,-66.0,-72.0,-69.0,-60.0,1
-63.0,-66.0,-72.0,-76.0,-60.0,1
-66.0,-66.0,-72.0,-76.0,-60.0,1
-66.0,-66.0,-68.0,-76.0,-60.0,1
-66.0,-66.0,-68.0,-76.0,-59.0,1
-66.0,-66.0,-68.0,-69.0,-59.0,1
-66.0,-59.0,-68.0,-69.0,-59.0,1
-62.0,-59.0,-68.0,-69.0,-59.0,1
-62.0,-59.0,-72.0,-69.0,-59.0,1
-62.0,-59.0,-72.0,-69.0,-60.0,1
-62.0,-59.0,-72.0,-70.0,-60.0,1
-62.0,-62.0,-72.0,-70.0,-60.0,1
-62.0,-66.0,-72.0,-70.0,-60.0,1
-66.0,-66.0,-72.0,-70.0,-60.0,1
-66.0,-66.0,-69.0,-70.0,-60.0,1
-66.0,-66.0,-69.0,-70.0,-59.0,1
-66.0,-59.0,-69.0,-70.0,-59.0,1
-64.0,-59.0,-69.0,-70.0,-59.0,1
-64.0,-59.0,-72.0,-70.0,-59.0,1
-64.0,-59.0,-72.0,-70.0,-60.0,1
-64.0,-65.0,-72.0,-70.0,-60.0,1
-68.0,-65.0,-72.0,-70.0,-60.0,1
-68.0,-65.0,-68.0,-70.0,-60.0,1
-68.0,-65.0,-68.0,-70.0,-61.0,1
-68.0,-65.0,-68.0,-68.0,-61.0,1
-63.0,-65.0,-68.0,-68.0,-61.0,1
-63.0,-65.0,-72.0,-68.0,-61.0,1
-63.0,-65.0,-72.0,-68.0,-60.0,1
-63.0,-65.0,-72.0,-69.0,-60.0,1
-61.0,-65.0,-72.0,-69.0,-60.0,1
-67.0,-65.0,-72.0,-69.0,-60.0,1
-64.0,-67.0,-67.0,-75.0,-60.0,1
-64.0,-59.0,-67.0,-75.0,-60.0,1
-64.0,-59.0,-72.0,-75.0,-60.0,1
-64.0,-59.0,-72.0,-68.0,-60.0,1
-62.0,-59.0,-72.0,-68.0,-60.0,1
-62.0,-68.0,-72.0,-68.0,-60.0,1
-62.0,-68.0,-67.0,-68.0,-60.0,1
-62.0,-68.0,-67.0,-77.0,-60.0,1
-62.0,-68.0,-71.0,-77.0,-60.0,1
-62.0,-68.0,-71.0,-68.0,-60.0,1
-67.0,-68.0,-71.0,-68.0,-60.0,1
-67.0,-66.0,-71.0,-68.0,-60.0,1
-67.0,-66.0,-68.0,-68.0,-60.0,1
-67.0,-66.0,-68.0,-78.0,-60.0,1
-64.0,-66.0,-68.0,-78.0,-60.0,1
-64.0,-57.0,-68.0,-78.0,-60.0,1
-64.0,-57.0,-65.0,-78.0,-60.0,1
-67.0,-57.0,-65.0,-78.0,-60.0,1
-67.0,-67.0,-65.0,-78.0,-60.0,1
-67.0,-67.0,-65.0,-70.0,-60.0,1
-67.0,-67.0,-65.0,-77.0,-60.0,1
-62.0,-67.0,-65.0,-77.0,-60.0,1
-62.0,-60.0,-65.0,-77.0,-60.0,1
-62.0,-60.0,-65.0,-77.0,-59.0,1
-62.0,-60.0,-65.0,-69.0,-59.0,1
-62.0,-59.0,-65.0,-69.0,-59.0,1
-62.0,-59.0,-68.0,-69.0,-61.0,1
-62.0,-59.0,-68.0,-70.0,-61.0,1
-62.0,-61.0,-68.0,-70.0,-61.0,1
-62.0,-58.0,-68.0,-70.0,-61.0,1
-62.0,-58.0,-68.0,-70.0,-60.0,1
-62.0,-58.0,-68.0,-72.0,-60.0,1
-62.0,-58.0,-68.0,-68.0,-60.0,1
-62.0,-59.0,-68.0,-68.0,-60.0,1
-63.0,-59.0,-68.0,-68.0,-60.0,1
-63.0,-59.0,-68.0,-68.0,-59.0,1
-63.0,-59.0,-68.0,-75.0,-59.0,1
-63.0,-59.0,-64.0,-75.0,-59.0,1
-63.0,-60.0,-64.0,-75.0,-59.0,1
-66.0,-60.0,-64.0,-75.0,-59.0,1
-66.0,-60.0,-64.0,-69.0,-59.0,1
-66.0,-59.0,-64.0,-69.0,-59.0,1
-62.0,-59.0,-64.0,-69.0,-59.0,1
-62.0,-59.0,-64.0,-75.0,-59.0,1
-68.0,-59.0,-64.0,-75.0,-59.0,1
-68.0,-59.0,-64.0,-75.0,-60.0,1
-68.0,-59.0,-64.0,-69.0,-60.0,1
-68.0,-59.0,-72.0,-69.0,-60.0,1
-62.0,-59.0,-72.0,-69.0,-61.0,1
-62.0,-59.0,-72.0,-70.0,-61.0,1
-63.0,-59.0,-68.0,-70.0,-61.0,1
-63.0,-59.0,-68.0,-70.0,-59.0,1
-63.0,-59.0,-73.0,-68.0,-59.0,1
-62.0,-59.0,-73.0,-68.0,-59.0,1
-62.0,-59.0,-73.0,-79.0,-59.0,1
-62.0,-59.0,-67.0,-79.0,-59.0,1
-62.0,-60.0,-67.0,-79.0,-59.0,1
-63.0,-60.0,-67.0,-79.0,-59.0,1
-63.0,-60.0,-67.0,-69.0,-59.0,1
-63.0,-60.0,-72.0,-69.0,-59.0,1
-68.0,-60.0,-72.0,-69.0,-59.0,1
-68.0,-60.0,-72.0,-77.0,-59.0,1
-68.0,-60.0,-64.0,-77.0,-59.0,1
-64.0,-60.0,-64.0,-77.0,-59.0,1
-64.0,-60.0,-64.0,-77.0,-60.0,1
-64.0,-60.0,-64.0,-71.0,-60.0,1
-64.0,-58.0,-64.0,-71.0,-60.0,1
-64.0,-58.0,-64.0,-71.0,-58.0,1
-64.0,-58.0,-64.0,-75.0,-58.0,1
-63.0,-58.0,-64.0,-75.0,-58.0,1
-63.0,-58.0,-64.0,-75.0,-60.0,1
-63.0,-58.0,-64.0,-72.0,-60.0,1
-63.0,-69.0,-64.0,-72.0,-60.0,1
-66.0,-69.0,-64.0,-72.0,-60.0,1
-66.0,-69.0,-64.0,-74.0,-60.0,1
-66.0,-60.0,-64.0,-74.0,-60.0,1
-63.0,-60.0,-64.0,-74.0,-60.0,1
-63.0,-60.0,-64.0,-68.0,-60.0,1
-63.0,-68.0,-64.0,-68.0,-60.0,1
-68.0,-68.0,-64.0,-68.0,-60.0,1
-68.0,-68.0,-64.0,-69.0,-60.0,1
-68.0,-58.0,-63.0,-69.0,-60.0,1
-63.0,-58.0,-63.0,-68.0,-60.0,1
-63.0,-67.0,-63.0,-68.0,-60.0,1
-63.0,-67.0,-69.0,-68.0,-60.0,1
-67.0,-67.0,-69.0,-68.0,-60.0,1
-67.0,-67.0,-69.0,-68.0,-59.0,1
-67.0,-67.0,-69.0,-75.0,-59.0,1
-63.0,-67.0,-69.0,-75.0,-59.0,1
-63.0,-67.0,-67.0,-75.0,-59.0,1
-63.0,-59.0,-67.0,-75.0,-59.0,1
-62.0,-59.0,-67.0,-75.0,-59.0,1
-62.0,-59.0,-67.0,-75.0,-60.0,1
-62.0,-59.0,-67.0,-71.0,-60.0,1
-62.0,-59.0,-73.0,-71.0,-60.0,1
-62.0,-59.0,-73.0,-71.0,-59.0,1
-62.0,-59.0,-73.0,-73.0,-59.0,1
-62.0,-59.0,-69.0,-73.0,-59.0,1
-62.0,-59.0,-69.0,-73.0,-60.0,1
-62.0,-59.0,-69.0,-70.0,-60.0,1
-62.0,-59.0,-64.0,-70.0,-60.0,1
-68.0,-59.0,-64.0,-70.0,-60.0,1
-68.0,-59.0,-64.0,-70.0,-59.0,1
-68.0,-59.0,-64.0,-71.0,-59.0,1
-68.0,-65.0,-64.0,-71.0,-59.0,1
-68.0,-65.0,-72.0,-71.0,-59.0,1
-64.0,-65.0,-72.0,-71.0,-59.0,1
-64.0,-65.0,-72.0,-70.0,-59.0,1
-64.0,-58.0,-72.0,-70.0,-59.0,1
-64.0,-58.0,-69.0,-70.0,-59.0,1
-62.0,-58.0,-69.0,-70.0,-59.0,1
-65.0,-58.0,-69.0,-70.0,-59.0,1
-65.0,-58.0,-69.0,-70.0,-60.0,1
-65.0,-58.0,-69.0,-72.0,-60.0,1
-65.0,-58.0,-72.0,-72.0,-60.0,1
-63.0,-58.0,-72.0,-72.0,-60.0,1
-63.0,-58.0,-72.0,-72.0,-59.0,1
-63.0,-59.0,-63.0,-75.0,-59.0,1
-66.0,-59.0,-63.0,-75.0,-60.0,1
-66.0,-59.0,-63.0,-72.0,-60.0,1
-66.0,-60.0,-63.0,-72.0,-60.0,1
-66.0,-60.0,-67.0,-72.0,-60.0,1
-66.0,-60.0,-67.0,-73.0,-60.0,1
-66.0,-65.0,-67.0,-73.0,-60.0,1
-66.0,-65.0,-71.0,-73.0,-60.0,1
-68.0,-65.0,-71.0,-73.0,-60.0,1
-68.0,-65.0,-71.0,-73.0,-59.0,1
-68.0,-65.0,-71.0,-72.0,-59.0,1
-68.0,-59.0,-71.0,-72.0,-59.0,1
-68.0,-59.0,-69.0,-72.0,-59.0,1
-62.0,-59.0,-69.0,-72.0,-59.0,1
-62.0,-59.0,-69.0,-72.0,-60.0,1
-62.0,-66.0,-69.0,-70.0,-60.0,1
-62.0,-66.0,-73.0,-70.0,-60.0,1
-63.0,-66.0,-73.0,-70.0,-60.0,1
-63.0,-66.0,-73.0,-70.0,-59.0,1
-63.0,-61.0,-73.0,-70.0,-59.0,1
-63.0,-61.0,-70.0,-70.0,-59.0,1
-62.0,-61.0,-70.0,-70.0,-59.0,1
-62.0,-61.0,-70.0,-74.0,-59.0,1
-62.0,-61.0,-74.0,-74.0,-59.0,1
-67.0,-61.0,-74.0,-74.0,-59.0,1
-67.0,-61.0,-74.0,-74.0,-60.0,1
-67.0,-61.0,-74.0,-72.0,-60.0,1
-67.0,-62.0,-74.0,-72.0,-60.0,1
-67.0,-62.0,-70.0,-72.0,-60.0,1
-62.0,-62.0,-70.0,-72.0,-60.0,1
-62.0,-62.0,-64.0,-72.0,-60.0,1
-66.0,-62.0,-64.0,-72.0,-60.0,1
-66.0,-62.0,-64.0,-76.0,-60.0,1
-66.0,-60.0,-64.0,-76.0,-60.0,1
-66.0,-60.0,-70.0,-76.0,-60.0,1
-60.0,-60.0,-70.0,-76.0,-60.0,1
-60.0,-60.0,-70.0,-70.0,-60.0,1
-60.0,-60.0,-65.0,-70.0,-60.0,1
-67.0,-60.0,-65.0,-70.0,-60.0,1
-67.0,-60.0,-65.0,-70.0,-59.0,1
-67.0,-60.0,-65.0,-73.0,-59.0,1
-67.0,-63.0,-65.0,-73.0,-59.0,1
-64.0,-63.0,-65.0,-73.0,-59.0,1
-64.0,-63.0,-65.0,-73.0,-60.0,1
-64.0,-63.0,-65.0,-75.0,-60.0,1
-64.0,-64.0,-65.0,-75.0,-60.0,1
-67.0,-64.0,-65.0,-75.0,-60.0,1
-67.0,-64.0,-65.0,-74.0,-60.0,1
-67.0,-62.0,-65.0,-74.0,-60.0,1
-62.0,-62.0,-65.0,-74.0,-60.0,1
-62.0,-62.0,-65.0,-69.0,-60.0,1
-62.0,-59.0,-65.0,-69.0,-60.0,1
-62.0,-59.0,-65.0,-69.0,-58.0,1
-62.0,-59.0,-65.0,-80.0,-58.0,1
-62.0,-58.0,-65.0,-69.0,-58.0,1
-62.0,-58.0,-73.0,-69.0,-58.0,1
-65.0,-58.0,-73.0,-69.0,-58.0,1
-65.0,-58.0,-73.0,-69.0,-59.0,1
-65.0,-58.0,-73.0,-71.0,-59.0,1
-65.0,-58.0,-67.0,-71.0,-59.0,1
-62.0,-58.0,-67.0,-71.0,-59.0,1
-62.0,-58.0,-67.0,-68.0,-59.0,1
-62.0,-74.0,-67.0,-68.0,-59.0,1
-62.0,-74.0,-67.0,-75.0,-59.0,1
-62.0,-59.0,-69.0,-75.0,-59.0,1
-61.0,-59.0,-69.0,-75.0,-59.0,1
-69.0,-59.0,-69.0,-75.0,-59.0,1
-69.0,-59.0,-69.0,-75.0,-60.0,1
-69.0,-59.0,-69.0,-74.0,-60.0,1
-69.0,-63.0,-69.0,-74.0,-60.0,1
-69.0,-63.0,-72.0,-74.0,-60.0,1
-69.0,-63.0,-72.0,-74.0,-61.0,1
-69.0,-63.0,-72.0,-77.0,-61.0,1
-69.0,-68.0,-72.0,-77.0,-61.0,1
-69.0,-68.0,-68.0,-77.0,-61.0,1
-69.0,-68.0,-68.0,-77.0,-59.0,1
-69.0,-68.0,-68.0,-72.0,-59.0,1
-69.0,-63.0,-68.0,-72.0,-59.0,1
-69.0,-63.0,-65.0,-72.0,-59.0,1
-66.0,-63.0,-65.0,-72.0,-59.0,1
-66.0,-63.0,-65.0,-72.0,-60.0,1
-66.0,-63.0,-65.0,-81.0,-60.0,1
-62.0,-63.0,-65.0,-81.0,-60.0,1
-62.0,-63.0,-65.0,-81.0,-59.0,1
-62.0,-63.0,-65.0,-69.0,-59.0,1
-62.0,-62.0,-65.0,-69.0,-59.0,1
-62.0,-62.0,-64.0,-69.0,-59.0,1
-67.0,-62.0,-64.0,-69.0,-59.0,1
-67.0,-62.0,-64.0,-82.0,-59.0,1
-67.0,-68.0,-64.0,-82.0,-59.0,1
-61.0,-68.0,-64.0,-82.0,-59.0,1
-61.0,-68.0,-71.0,-82.0,-59.0,1
-61.0,-68.0,-71.0,-67.0,-59.0,1
-61.0,-63.0,-71.0,-67.0,-59.0,1
-65.0,-63.0,-71.0,-67.0,-59.0,1
-65.0,-63.0,-71.0,-67.0,-60.0,1
-65.0,-63.0,-71.0,-77.0,-60.0,1
-65.0,-67.0,-71.0,-77.0,-60.0,1
-65.0,-67.0,-68.0,-77.0,-60.0,1
-65.0,-67.0,-68.0,-77.0,-59.0,1
-65.0,-67.0,-68.0,-72.0,-59.0,1
-65.0,-62.0,-68.0,-72.0,-59.0,1
-62.0,-62.0,-68.0,-72.0,-59.0,1
-62.0,-62.0,-69.0,-72.0,-59.0,1
-62.0,-62.0,-69.0,-72.0,-61.0,1
-62.0,-68.0,-69.0,-72.0,-61.0,1
-63.0,-62.0,-71.0,-82.0,-60.0,1
-63.0,-62.0,-71.0,-82.0,-58.0,1
-63.0,-60.0,-71.0,-82.0,-58.0,1
-63.0,-60.0,-73.0,-82.0,-58.0,1
-68.0,-60.0,-73.0,-82.0,-58.0,1
-68.0,-60.0,-73.0,-82.0,-61.0,1
-64.0,-59.0,-70.0,-69.0,-59.0,1
-64.0,-62.0,-70.0,-69.0,-59.0,1
-64.0,-62.0,-77.0,-69.0,-59.0,1
-64.0,-62.0,-77.0,-76.0,-59.0,1
-64.0,-68.0,-77.0,-76.0,-59.0,1
-64.0,-68.0,-77.0,-70.0,-59.0,1
-64.0,-59.0,-77.0,-70.0,-59.0,1
-64.0,-59.0,-76.0,-70.0,-59.0,1
-63.0,-59.0,-76.0,-70.0,-59.0,1
-63.0,-59.0,-76.0,-70.0,-62.0,1
-63.0,-65.0,-76.0,-70.0,-62.0,1
-63.0,-65.0,-76.0,-72.0,-62.0,1
-63.0,-59.0,-76.0,-72.0,-62.0,1
-67.0,-59.0,-76.0,-72.0,-62.0,1
-67.0,-59.0,-70.0,-72.0,-62.0,1
-67.0,-59.0,-70.0,-74.0,-62.0,1
-67.0,-73.0,-70.0,-74.0,-62.0,1
-66.0,-73.0,-70.0,-74.0,-62.0,1
-66.0,-73.0,-74.0,-74.0,-62.0,1
-66.0,-73.0,-74.0,-74.0,-60.0,1
-66.0,-59.0,-74.0,-74.0,-60.0,1
-66.0,-59.0,-74.0,-72.0,-60.0,1
-72.0,-59.0,-74.0,-72.0,-60.0,1
-72.0,-59.0,-74.0,-80.0,-60.0,1
-72.0,-69.0,-74.0,-80.0,-60.0,1
-69.0,-69.0,-74.0,-80.0,-60.0,1
-66.0,-69.0,-74.0,-80.0,-60.0,1
-66.0,-60.0,-74.0,-80.0,-60.0,1
-66.0,-60.0,-74.0,-71.0,-60.0,1
-73.0,-60.0,-74.0,-71.0,-60.0,1
-73.0,-60.0,-74.0,-71.0,-61.0,1
-66.0,-60.0,-74.0,-71.0,-61.0,1
-66.0,-67.0,-74.0,-71.0,-61.0,1
-69.0,-67.0,-74.0,-71.0,-61.0,1
-69.0,-67.0,-74.0,-71.0,-59.0,1
-69.0,-67.0,-70.0,-71.0,-59.0,1
-69.0,-62.0,-70.0,-71.0,-59.0,1
-69.0,-62.0,-70.0,-71.0,-60.0,1
-69.0,-62.0,-80.0,-71.0,-60.0,1
-69.0,-71.0,-80.0,-71.0,-60.0,1
-69.0,-71.0,-80.0,-77.0,-60.0,1
-66.0,-60.0,-73.0,-78.0,-59.0,1
-66.0,-60.0,-74.0,-78.0,-59.0,1
-66.0,-74.0,-74.0,-78.0,-59.0,1
-66.0,-74.0,-74.0,-80.0,-59.0,1
-68.0,-74.0,-74.0,-80.0,-59.0,1
-68.0,-74.0,-66.0,-80.0,-59.0,1
-68.0,-74.0,-66.0,-80.0,-60.0,1
-68.0,-58.0,-66.0,-80.0,-60.0,1
-67.0,-60.0,-72.0,-80.0,-59.0,1
-66.0,-60.0,-72.0,-80.0,-59.0,1
-66.0,-60.0,-72.0,-80.0,-60.0,1
-66.0,-60.0,-65.0,-80.0,-60.0,1
-65.0,-70.0,-65.0,-75.0,-59.0,1
-65.0,-70.0,-65.0,-84.0,-59.0,1
-72.0,-70.0,-65.0,-84.0,-59.0,1
-72.0,-70.0,-70.0,-84.0,-59.0,1
-72.0,-60.0,-70.0,-84.0,-59.0,1
-72.0,-60.0,-70.0,-80.0,-59.0,1
-68.0,-60.0,-70.0,-80.0,-59.0,1
-68.0,-60.0,-66.0,-80.0,-59.0,1
-68.0,-66.0,-66.0,-80.0,-59.0,1
-71.0,-66.0,-66.0,-80.0,-59.0,1
-71.0,-66.0,-72.0,-80.0,-59.0,1
-71.0,-60.0,-72.0,-80.0,-59.0,1
-71.0,-60.0,-72.0,-75.0,-59.0,1
-69.0,-60.0,-72.0,-75.0,-59.0,1
-69.0,-60.0,-72.0,-75.0,-60.0,1
-69.0,-69.0,-72.0,-75.0,-60.0,1
-72.0,-69.0,-72.0,-75.0,-60.0,1
-72.0,-69.0,-72.0,-75.0,-59.0,1
-72.0,-60.0,-72.0,-75.0,-59.0,1
-69.0,-69.0,-72.0,-75.0,-59.0,1
-71.0,-59.0,-72.0,-80.0,-59.0,1
-71.0,-59.0,-72.0,-80.0,-61.0,1
-71.0,-59.0,-63.0,-80.0,-61.0,1
-71.0,-59.0,-63.0,-78.0,-61.0,1
-71.0,-61.0,-63.0,-78.0,-59.0,1
-71.0,-61.0,-63.0,-78.0,-61.0,1
-71.0,-61.0,-64.0,-78.0,-61.0,1
-71.0,-61.0,-64.0,-81.0,-61.0,1
-71.0,-61.0,-64.0,-81.0,-59.0,1
-71.0,-61.0,-70.0,-81.0,-59.0,1
-71.0,-61.0,-70.0,-70.0,-59.0,1
-71.0,-62.0,-70.0,-70.0,-59.0,1
-68.0,-62.0,-70.0,-70.0,-59.0,1
-68.0,-62.0,-63.0,-70.0,-59.0,1
-68.0,-62.0,-63.0,-72.0,-59.0,1
-72.0,-62.0,-63.0,-72.0,-59.0,1
-70.0,-62.0,-63.0,-72.0,-59.0,1
-70.0,-62.0,-63.0,-72.0,-60.0,1
-70.0,-62.0,-65.0,-72.0,-60.0,1
-70.0,-62.0,-65.0,-75.0,-60.0,1
-70.0,-60.0,-65.0,-75.0,-60.0,1
-70.0,-60.0,-68.0,-75.0,-60.0,1
-70.0,-60.0,-68.0,-72.0,-60.0,1
-70.0,-69.0,-68.0,-72.0,-60.0,1
-66.0,-69.0,-68.0,-72.0,-60.0,1
-66.0,-69.0,-69.0,-72.0,-60.0,1
-66.0,-69.0,-69.0,-73.0,-60.0,1
-66.0,-60.0,-69.0,-73.0,-60.0,1
-65.0,-60.0,-69.0,-73.0,-60.0,1
-65.0,-60.0,-69.0,-73.0,-61.0,1
-65.0,-60.0,-71.0,-73.0,-61.0,1
-65.0,-60.0,-71.0,-70.0,-61.0,1
-65.0,-61.0,-71.0,-70.0,-61.0,1
-65.0,-61.0,-72.0,-70.0,-61.0,1
-64.0,-61.0,-72.0,-70.0,-61.0,1
-64.0,-61.0,-69.0,-70.0,-61.0,1
-64.0,-61.0,-69.0,-71.0,-61.0,1
-64.0,-61.0,-69.0,-71.0,-60.0,1
-64.0,-61.0,-69.0,-77.0,-60.0,1
-64.0,-60.0,-69.0,-77.0,-60.0,1
-60.0,-60.0,-69.0,-77.0,-60.0,1
-60.0,-60.0,-72.0,-77.0,-60.0,1
-60.0,-60.0,-72.0,-77.0,-61.0,1
-60.0,-66.0,-72.0,-77.0,-61.0,1
-61.0,-66.0,-72.0,-77.0,-61.0,1
-61.0,-66.0,-72.0,-68.0,-61.0,1
-61.0,-66.0,-72.0,-68.0,-59.0,1
-61.0,-61.0,-72.0,-68.0,-59.0,1
-68.0,-61.0,-72.0,-68.0,-59.0,1
-68.0,-61.0,-73.0,-68.0,-59.0,1
-68.0,-61.0,-73.0,-71.0,-59.0,1
-68.0,-61.0,-73.0,-71.0,-60.0,1
-68.0,-69.0,-73.0,-71.0,-60.0,1
-62.0,-69.0,-73.0,-71.0,-60.0,1
-62.0,-69.0,-69.0,-71.0,-60.0,1
-62.0,-61.0,-69.0,-71.0,-60.0,1
-64.0,-61.0,-71.0,-71.0,-60.0,1
-64.0,-61.0,-71.0,-70.0,-60.0,1
-64.0,-71.0,-71.0,-70.0,-60.0,1
-67.0,-71.0,-71.0,-70.0,-60.0,1
-67.0,-71.0,-70.0,-70.0,-60.0,1
-67.0,-71.0,-70.0,-77.0,-60.0,1
-67.0,-61.0,-70.0,-77.0,-60.0,1
-63.0,-61.0,-70.0,-77.0,-60.0,1
-63.0,-61.0,-70.0,-69.0,-60.0,1
-63.0,-61.0,-68.0,-69.0,-60.0,1
-63.0,-67.0,-68.0,-69.0,-60.0,1
-64.0,-67.0,-68.0,-69.0,-60.0,1
-64.0,-67.0,-68.0,-77.0,-60.0,1
-64.0,-67.0,-71.0,-77.0,-60.0,1
-64.0,-62.0,-71.0,-77.0,-60.0,1
-69.0,-62.0,-71.0,-77.0,-60.0,1
-69.0,-62.0,-69.0,-77.0,-60.0,1
-69.0,-68.0,-69.0,-77.0,-60.0,1
-63.0,-68.0,-69.0,-77.0,-60.0,1
-63.0,-68.0,-71.0,-77.0,-60.0,1
-63.0,-68.0,-71.0,-81.0,-60.0,1
-63.0,-62.0,-71.0,-81.0,-60.0,1
-63.0,-62.0,-69.0,-81.0,-60.0,1
-63.0,-62.0,-69.0,-72.0,-60.0,1
-63.0,-62.0,-69.0,-72.0,-59.0,1
-63.0,-66.0,-69.0,-72.0,-59.0,1
-65.0,-66.0,-69.0,-72.0,-59.0,1
-65.0,-66.0,-69.0,-72.0,-60.0,1
-65.0,-66.0,-70.0,-72.0,-60.0,1
-65.0,-66.0,-70.0,-75.0,-60.0,1
-65.0,-63.0,-70.0,-75.0,-60.0,1
-73.0,-63.0,-70.0,-75.0,-60.0,1
-73.0,-63.0,-65.0,-75.0,-60.0,1
-73.0,-63.0,-65.0,-71.0,-60.0,1
-73.0,-67.0,-65.0,-71.0,-60.0,1
-62.0,-67.0,-65.0,-71.0,-60.0,1
-62.0,-60.0,-65.0,-71.0,-60.0,1
-65.0,-60.0,-65.0,-71.0,-60.0,1
-65.0,-60.0,-64.0,-71.0,-60.0,1
-65.0,-60.0,-64.0,-68.0,-60.0,1
-65.0,-62.0,-64.0,-68.0,-60.0,1
-65.0,-62.0,-73.0,-68.0,-60.0,1
-65.0,-62.0,-73.0,-70.0,-60.0,1
-66.0,-62.0,-73.0,-70.0,-60.0,1
-66.0,-62.0,-68.0,-70.0,-60.0,1
-66.0,-62.0,-68.0,-81.0,-60.0,1
-63.0,-62.0,-68.0,-81.0,-60.0,1
-63.0,-62.0,-64.0,-81.0,-60.0,1
-63.0,-62.0,-64.0,-69.0,-60.0,1
-66.0,-66.0,-64.0,-69.0,-60.0,1
-66.0,-66.0,-68.0,-69.0,-60.0,1
-66.0,-66.0,-68.0,-82.0,-60.0,1
-66.0,-58.0,-68.0,-82.0,-60.0,1
-64.0,-58.0,-68.0,-82.0,-60.0,1
-64.0,-58.0,-64.0,-82.0,-60.0,1
-64.0,-58.0,-64.0,-68.0,-60.0,1
-64.0,-68.0,-64.0,-68.0,-60.0,1
-65.0,-68.0,-64.0,-68.0,-60.0,1
-65.0,-58.0,-64.0,-68.0,-60.0,1
-62.0,-58.0,-64.0,-68.0,-59.0,1
-62.0,-58.0,-65.0,-68.0,-59.0,1
-62.0,-58.0,-65.0,-77.0,-59.0,1
-62.0,-62.0,-65.0,-77.0,-59.0,1
-66.0,-62.0,-65.0,-77.0,-59.0,1
-66.0,-62.0,-74.0,-77.0,-59.0,1
-66.0,-62.0,-74.0,-77.0,-60.0,1
-66.0,-58.0,-74.0,-77.0,-60.0,1
-66.0,-58.0,-64.0,-77.0,-60.0,1
-63.0,-58.0,-64.0,-77.0,-60.0,1
-63.0,-58.0,-64.0,-77.0,-59.0,1
-65.0,-58.0,-64.0,-77.0,-59.0,1
-65.0,-58.0,-64.0,-77.0,-60.0,1
-65.0,-58.0,-69.0,-77.0,-60.0,1
-65.0,-59.0,-69.0,-77.0,-60.0,1
-65.0,-59.0,-69.0,-69.0,-60.0,1
-63.0,-59.0,-69.0,-69.0,-60.0,1
-63.0,-60.0,-65.0,-69.0,-60.0,1
-63.0,-60.0,-65.0,-78.0,-60.0,1
-63.0,-60.0,-68.0,-78.0,-60.0,1
-63.0,-60.0,-68.0,-69.0,-60.0,1
-63.0,-60.0,-64.0,-69.0,-60.0,1
